open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
417.81,419.74,410.72,415.67,16845553.0,419.74,410.72,415.67,417.81,16935856.0,1.0,0.0,MSFT,XNAS,2025-01-14T00:00:00+0000
220.44,221.82,216.2,217.76,24711650.0,221.82,216.2,217.76,220.44,24711650.0,1.0,0.0,AMZN,XNAS,2025-01-14T00:00:00+0000
191.24,191.98,188.3082,189.66,17174854.0,191.98,188.3082,189.66,191.24,17174854.0,1.0,0.0,GOOGL,XNAS,2025-01-14T00:00:00+0000
234.75,236.12,232.472,233.28,38863097.0,236.12,232.472,233.28,234.75,39435294.0,1.0,0.0,AAPL,XNAS,2025-01-14T00:00:00+0000
192.5,193.27,189.64,191.05,13651183.0,193.27,189.64,191.05,192.5,13651183.0,1.0,0.0,GOOG,XNAS,2025-01-14T00:00:00+0000
191.35,192.49,188.66,192.29,13169060.0,192.49,188.66,192.29,191.35,13169060.0,1.0,0.0,GOOG,XNAS,2025-01-13T00:00:00+0000
415.24,418.5,412.29,417.19,17579900.0,418.5,412.29,417.19,415.235,17604780.0,1.0,0.0,MSFT,XNAS,2025-01-13T00:00:00+0000
233.5,234.67,229.72,234.4,49056366.0,234.67,229.72,234.4,233.53,49630725.0,1.0,0.0,AAPL,XNAS,2025-01-13T00:00:00+0000
218.06,219.4,216.47,218.46,27262655.0,219.4,216.47,218.46,218.06,27262655.0,1.0,0.0,AMZN,XNAS,2025-01-13T00:00:00+0000
190.07,191.18,187.36,191.01,21823699.0,191.18,187.36,191.01,190.07,21823699.0,1.0,0.0,GOOGL,XNAS,2025-01-13T00:00:00+0000
194.295,196.52,190.31,192.04,26665206.0,196.52,190.31,192.04,194.295,26665206.0,1.0,0.0,GOOGL,XNAS,2025-01-10T00:00:00+0000
195.42,197.62,191.6,193.17,20753794.0,197.62,191.6,193.17,195.42,20753794.0,1.0,0.0,GOOG,XNAS,2025-01-10T00:00:00+0000
221.46,221.71,216.5,218.94,36811525.0,221.71,216.5,218.94,221.46,36811525.0,1.0,0.0,AMZN,XNAS,2025-01-10T00:00:00+0000
424.63,424.71,415.02,418.95,20186800.0,424.71,415.02,418.95,424.63,20201132.0,1.0,0.0,MSFT,XNAS,2025-01-10T00:00:00+0000
240.01,240.16,233.0,236.85,61679400.0,240.16,233.0,236.85,240.01,61710856.0,1.0,0.0,AAPL,XNAS,2025-01-10T00:00:00+0000
